,Channel_name,Subscribers,Views,Total_videos,Playlist_id
0,Benjamin Cowen,798000,111986151,2216,UURvqjQPSeaWn-uEx-w0XOIg
1,Craig Percoco,432000,12227707,247,UUL-QLzGmf468WAL1U-9g0qA
2,CoinGecko,196000,6335664,672,UU-OTgwOAI7KmP0eDAtqN3Ow
3,Jerry Banfield Crypto,36700,2163877,247,UUuP9POBXk191J_QWpR8a0TA
4,Coinsider,296000,15502708,717,UUi7egjf0JDHuhznWugXq4hA
5,InvestAnswers,507000,74708781,1162,UUlgJyzwGs-GyaNxUHcLZrkg
6,Krypto Cove,57100,3590494,250,UUAZ9PHafkZUFsGRsRPPWaxQ
7,Scott Melker,146000,13281072,1498,UUxIU1RFIdDpvA8VOITswQ1A
8,Ivan on Tech,524000,27633328,965,UUrYmtJBtLdtm2ov84ulV-yg
9,Crypto Insight,771,50115,116,UUCbenQd7OteG1pG2Dn3tDMA
10,Coin Bureau,2460000,238749156,1171,UUqK_GSMbpiV8spgD3ZGloSw
11,JRNY Crypto,608000,39068305,413,UU188KLMYLLGqVJZdYq7mYFw
12,Crypto Banter,768000,122125512,2820,UUN9Nj4tjXbVTLYWN0EKly_Q
13,Crypto Insight,2260,99250,176,UUeho-pOR48pgRS5OQVifVCA
14,VirtualBacon,331000,25088626,1140,UUcrEA_xd9Ldf1C8DIJYdyyA
15,Digital Asset News,351000,51510054,2058,UUJgHxpqfhWEEjYH9cLXqhIQ
16,Brian Jung,1800000,85285781,547,UUQglaVhGOBI0BR5S6IJnQPg
17,Francis Dhun Uncensored ,43700,2191683,810,UU4RzRP-dlf-RrCl3iHQi77A
